
Reading VBN S:\SSB4\extracted_content\fighter\yoshi\model\body\c00\model.vbn

Reading PAC S:\SSB4\extracted_content\fighter\yoshi\motion\body\main.pac
315 files in archive

Reading OMO FitYoshiBodyMainA00ItemHandGrip.omo
RHandN Rotation fixed ['-0.74', '-0.05', '0.01']
RHaveN Rotation fixed ['1.29', '0.49', '0.08']
RHaveN Translation fixed ['0.50', '0.50', '0.50']

Reading OMO FitYoshiBodyMainA00ItemHandHave.omo
RHandN Rotation fixed ['-0.61', '-0.43', '-0.34']
RHaveN Rotation fixed ['1.29', '0.49', '0.08']
RHaveN Translation fixed ['0.50', '0.50', '0.50']

Reading OMO FitYoshiBodyMainA00ItemHandPickUp.omo
RHandN Rotation fixed ['-0.74', '-0.05', '0.01']
RHaveN Rotation fixed ['1.29', '0.49', '0.08']
RHaveN Translation fixed ['0.50', '0.50', '0.50']

Reading OMO FitYoshiBodyMainA00ItemHandSmash.omo
RHandN Rotation fixed ['-0.74', '-0.05', '0.01']
RHaveN Rotation fixed ['1.29', '0.49', '0.08']
RHaveN Translation fixed ['0.50', '0.50', '0.50']

Reading OMO FitYoshiBodyMainA00Wait1.omo
TransN Translation fixed ['0.00', '0.00', '0.00']
RotN Translation fixed ['0.00', '5.88', '0.00']
HipN Rotation lerp start ['-0.04', '-0.62', '-1.73']
HipN Rotation lerp end   ['1.23', '2.20', '0.62']
HipN Translation lerp start ['0.36', '0.10', '0.73']
HipN Translation lerp end   ['0.25', '0.11', '0.15']
HipN F 0 Rotation lerp ['0.99', '0.12', '0.73']
HipN F 0 Translation lerp ['0.41', '0.52', '0.65']
HipN F 1 Rotation lerp ['0.98', '0.07', '0.77']
HipN F 1 Translation lerp ['0.36', '0.59', '0.69']
HipN F 2 Rotation lerp ['0.95', '0.04', '0.81']
HipN F 2 Translation lerp ['0.31', '0.66', '0.73']
HipN F 3 Rotation lerp ['0.91', '0.01', '0.85']
HipN F 3 Translation lerp ['0.26', '0.73', '0.78']
HipN F 4 Rotation lerp ['0.84', '0.00', '0.90']
HipN F 4 Translation lerp ['0.20', '0.79', '0.82']
HipN F 5 Rotation lerp ['0.74', '0.00', '0.94']
HipN F 5 Translation lerp ['0.15', '0.85', '0.86']
HipN F 6 Rotation lerp ['0.62', '0.04', '0.97']
HipN F 6 Translation lerp ['0.11', '0.89', '0.89']
HipN F 7 Rotation lerp ['0.51', '0.12', '0.99']
HipN F 7 Translation lerp ['0.07', '0.93', '0.91']
HipN F 8 Rotation lerp ['0.41', '0.23', '1.00']
HipN F 8 Translation lerp ['0.05', '0.96', '0.93']
HipN F 9 Rotation lerp ['0.33', '0.45', '1.00']
HipN F 9 Translation lerp ['0.03', '0.98', '0.95']
HipN F 10 Rotation lerp ['0.26', '0.68', '0.99']
HipN F 10 Translation lerp ['0.01', '0.99', '0.96']
HipN F 11 Rotation lerp ['0.21', '0.81', '0.97']
HipN F 11 Translation lerp ['0.00', '1.00', '0.97']
HipN F 12 Rotation lerp ['0.16', '0.89', '0.95']
HipN F 12 Translation lerp ['0.00', '1.00', '0.97']
HipN F 13 Rotation lerp ['0.12', '0.95', '0.91']
HipN F 13 Translation lerp ['0.00', '0.99', '0.98']
HipN F 14 Rotation lerp ['0.09', '0.99', '0.88']
HipN F 14 Translation lerp ['0.00', '0.97', '0.99']
HipN F 15 Rotation lerp ['0.06', '1.00', '0.84']
HipN F 15 Translation lerp ['0.01', '0.95', '1.00']
HipN F 16 Rotation lerp ['0.05', '1.00', '0.80']
HipN F 16 Translation lerp ['0.02', '0.91', '1.00']
HipN F 17 Rotation lerp ['0.04', '0.97', '0.75']
HipN F 17 Translation lerp ['0.04', '0.87', '1.00']
HipN F 18 Rotation lerp ['0.04', '0.93', '0.69']
HipN F 18 Translation lerp ['0.06', '0.81', '1.00']
HipN F 19 Rotation lerp ['0.04', '0.88', '0.63']
HipN F 19 Translation lerp ['0.10', '0.74', '0.99']
HipN F 20 Rotation lerp ['0.04', '0.79', '0.55']
HipN F 20 Translation lerp ['0.15', '0.67', '0.97']
HipN F 21 Rotation lerp ['0.05', '0.65', '0.47']
HipN F 21 Translation lerp ['0.21', '0.58', '0.94']
HipN F 22 Rotation lerp ['0.04', '0.48', '0.38']
HipN F 22 Translation lerp ['0.29', '0.48', '0.89']
HipN F 23 Rotation lerp ['0.03', '0.35', '0.29']
HipN F 23 Translation lerp ['0.38', '0.38', '0.82']
HipN F 24 Rotation lerp ['0.02', '0.26', '0.19']
HipN F 24 Translation lerp ['0.49', '0.28', '0.73']
HipN F 25 Rotation lerp ['0.01', '0.21', '0.11']
HipN F 25 Translation lerp ['0.60', '0.18', '0.63']
HipN F 26 Rotation lerp ['0.00', '0.18', '0.05']
HipN F 26 Translation lerp ['0.70', '0.09', '0.52']
HipN F 27 Rotation lerp ['0.00', '0.18', '0.01']
HipN F 27 Translation lerp ['0.79', '0.03', '0.40']
HipN F 28 Rotation lerp ['0.02', '0.18', '0.00']
HipN F 28 Translation lerp ['0.87', '0.00', '0.30']
HipN F 29 Rotation lerp ['0.06', '0.19', '0.01']
HipN F 29 Translation lerp ['0.92', '0.00', '0.20']
HipN F 30 Rotation lerp ['0.11', '0.21', '0.04']
HipN F 30 Translation lerp ['0.96', '0.02', '0.13']
HipN F 31 Rotation lerp ['0.18', '0.26', '0.08']
HipN F 31 Translation lerp ['0.99', '0.05', '0.07']
HipN F 32 Rotation lerp ['0.27', '0.35', '0.13']
HipN F 32 Translation lerp ['1.00', '0.09', '0.03']
HipN F 33 Rotation lerp ['0.35', '0.47', '0.17']
HipN F 33 Translation lerp ['1.00', '0.13', '0.01']
HipN F 34 Rotation lerp ['0.45', '0.61', '0.22']
HipN F 34 Translation lerp ['1.00', '0.16', '0.00']
HipN F 35 Rotation lerp ['0.54', '0.75', '0.26']
HipN F 35 Translation lerp ['0.99', '0.21', '0.00']
HipN F 36 Rotation lerp ['0.63', '0.84', '0.29']
HipN F 36 Translation lerp ['0.98', '0.26', '0.02']
HipN F 37 Rotation lerp ['0.70', '0.89', '0.31']
HipN F 37 Translation lerp ['0.97', '0.32', '0.03']
HipN F 38 Rotation lerp ['0.76', '0.92', '0.34']
HipN F 38 Translation lerp ['0.96', '0.39', '0.05']
HipN F 39 Rotation lerp ['0.81', '0.93', '0.37']
HipN F 39 Translation lerp ['0.94', '0.46', '0.08']
HipN F 40 Rotation lerp ['0.85', '0.92', '0.39']
HipN F 40 Translation lerp ['0.92', '0.53', '0.10']
HipN F 41 Rotation lerp ['0.88', '0.89', '0.41']
HipN F 41 Translation lerp ['0.89', '0.60', '0.14']
HipN F 42 Rotation lerp ['0.91', '0.85', '0.44']
HipN F 42 Translation lerp ['0.86', '0.65', '0.17']
HipN F 43 Rotation lerp ['0.93', '0.79', '0.46']
HipN F 43 Translation lerp ['0.83', '0.70', '0.21']
HipN F 44 Rotation lerp ['0.93', '0.71', '0.49']
HipN F 44 Translation lerp ['0.79', '0.72', '0.26']
HipN F 45 Rotation lerp ['0.95', '0.62', '0.52']
HipN F 45 Translation lerp ['0.73', '0.71', '0.32']
HipN F 46 Rotation lerp ['0.97', '0.51', '0.57']
HipN F 46 Translation lerp ['0.65', '0.66', '0.42']
HipN F 47 Rotation lerp ['0.99', '0.39', '0.63']
HipN F 47 Translation lerp ['0.56', '0.58', '0.51']
HipN F 48 Rotation lerp ['1.00', '0.27', '0.67']
HipN F 48 Translation lerp ['0.48', '0.50', '0.58']
HipN F 49 Rotation lerp ['0.99', '0.19', '0.70']
HipN F 49 Translation lerp ['0.44', '0.46', '0.62']
